word,postcount,commentcount,
losing,0,1,
post,0,7,
our\n,0,1,
hw2-exercises.py,2,3,
commit,5,10,
slightly,0,1,
automatically,0,1,
statements,0,1,
formerly,0,1,
fern,1,0,
git,9,32,
initial,0,1,
knowing,0,1,
class,2,15,
stuck,0,1,
hw2feed.text,0,1,
unstaged,0,2,
editor,0,1,
overhead,0,1,
happy,1,1,
timestamped,0,1,
medium,0,1,
removes,0,1,
removed,0,1,
reset,2,1,
versions,1,0,
inside,0,3,
staged,1,1,
devices,1,3,
coursefiles/hcde310a16/homeworks,2,2,
submitting,1,1,
powershell,0,1,
delete,0,2,
covers,0,1,
exist,4,0,
annoying,0,1,
check,1,6,
physical,0,2,
floor,0,1,
til,0,1,
setting,0,1,
test,1,4,
picture,2,2,
utilities,0,1,
let's,0,1,
and/or,0,1,
variable,2,2,
bitbucket,3,1,
happening,0,2,
time,1,8,
push,2,5,
manager,0,3,
clarification,1,1,
flash,0,1,
environment,2,2,
finally,0,1,
downloading,1,5,
locked,1,0,
trouble,3,2,
solves,1,0,
leave,0,4,
solved,0,1,
team,0,1,
quick,0,1,
hw2_exercises.py,1,0,
dir,0,1,
it'll,1,2,
feedprocessor,1,0,
re-add,0,1,
64bit,1,0,
current,1,1,
hw2feed.txt,1,0,
goes,1,2,
shared,0,1,
wordfreq(fname,0,1,
how/what,1,0,
install,0,1,
understanding,0,1,
downloaded,2,5,
appears,0,1,
change,6,3,
box,3,8,
3:20,0,1,
overrides,1,0,
usually,0,5,
weird,0,1,
regardless,0,2,
extra,0,1,
prefer,0,1,
mackenna,0,1,
1st,0,1,
shinyoung,0,1,
handled,1,1,
visit,0,1,
handles,0,1,
wondering,1,1,
clicking,0,2,
acceptable,1,0,
termal,0,1,
easiest,0,2,
lowercase,0,1,
values,1,0,
corrupted,0,1,
figure,0,4,
awesome,0,1,
didn't,0,10,
confused,3,1,
dropped,0,1,
counting,1,0,
gethw,4,4,
s2,0,3,
lounge,4,2,
parameter,1,1,
crashes,0,2,
clone,2,2,
mac,1,3,
4th,0,1,
date,0,1,
data,0,6,
remember,0,2,
whenever,0,1,
maybe,1,2,
switch,1,0,
sh,1,1,
typical,1,0,
wishing,1,0,
course,0,1,
lst,0,1,
thank,0,6,
window,0,2,
listing,1,0,
main,0,2,
happened,1,1,
emailed,0,1,
matches,0,1,
boot/grub/i386-pc/normal.mod,1,0,
scaling,0,2,
sorted,0,1,
hall,0,1,
nor,1,0,
wont,0,1,
name,3,5,
directories,0,4,
drop,0,5,
repositories,0,1,
quarter,0,1,
yeah,0,6,
happen,1,0,
intended,0,1,
canvas,4,8,
3rd,1,0,
space,0,2,
cancels,1,0,
looking,1,0,
contained,0,1,
shouldn't,2,3,
navigating,1,0,
internet,6,2,
receiving,1,0,
correct,1,2,
earlier,1,1,
theory,0,1,
siege,1,0,
macos,2,3,
yup,0,1,
listings,0,1,
origin,0,2,
fetched,1,1,
hw2-exercises,0,1,
fetches,0,1,
specifically,1,0,
directly,0,2,
array,0,1,
tomorrow,4,6,
little,0,1,
2,7,9,
typing,0,1,
white,0,1,
coursefiles,0,4,
here's,2,0,
10,0,1,
impractical,0,1,
unfortunately,0,1,
18,0,2,
require,0,1,
future,0,1,
sean,1,5,
argument,0,1,
dash,1,0,
homeworks_oringinalversions,0,1,
10:00-11:00,1,0,
https://www.virtualbox.org/wiki/downloads,0,1,
aside,1,0,
note,0,2,
online,1,0,
coursefiles/homeworks,0,1,
altered,1,0,
track,0,1,
fills,0,1,
drive,0,4,
typically,0,2,
conditionals,0,1,
spaced,0,1,
discovered,2,0,
spaces,2,3,
inconsistent,1,0,
outside,0,3,
linefeed,1,1,
posted,0,1,
correctly,2,4,
repo,2,2,
resource,0,1,
settings,0,2,
morning,1,0,
#9,1,0,
anyways,1,0,
#1,0,1,
sites,0,1,
3,0,1,
import,0,2,
reading,0,1,
screen,3,2,
analyzed,0,1,
dates,1,0,
enabling,0,1,
personal,0,1,
question/issue,0,1,
can't,1,2,
learning,0,1,
shoudn't,0,1,
mark,0,2,
engine,0,1,
6a,1,0,
direction,0,1,
6c,1,0,
gist,0,1,
laptops,0,1,
photos,0,1,
figured,0,1,
external,0,1,
former,1,1,
developing,0,1,
trick,0,2,
sudden,0,1,
develop,0,1,
authentication,0,1,
exist/have,0,1,
5:50,0,1,
document,1,2,
week,1,1,
finish,0,1,
screenshot,1,12,
downloads,0,2,
drives,0,1,
running,2,6,
changing,0,1,
totally,0,2,
coursefiles/hcde310a16,1,3,
relies,0,1,
slicing,1,0,
charger,1,0,
customized,0,1,
tar.gz,0,1,
rest,0,1,
halfway,1,0,
staging,0,1,
we've,0,1,
except,0,3,
desktop,0,5,
4,4,1,
rules,0,1,
traffic,0,1,
environments,3,5,
using,4,15,
christina,3,0,
server,0,1,
output,2,2,
grub,1,0,
conditional,0,2,
specified,0,2,
provided,0,1,
confirm,1,0,
exit,1,0,
from(coursefiles/hcde310a16,0,1,
accessing,1,0,
update,1,2,
refers,0,1,
assembla,0,3,
ok,1,5,
oh,0,2,
choi,0,1,
industry,1,0,
os,0,2,
image,2,1,
removing,0,1,
hey,5,2,
start,1,6,
lot,1,4,
4:30,2,2,
complete,0,1,
gethw.sh,6,12,
buggy,0,1,
trying,3,4,
pull,1,7,
connect,0,1,
mallory,0,2,
ah,0,1,
am,4,7,
enable,0,2,
file,17,36,
hw2,7,10,
internalcommands,0,2,
hw0,2,2,
hw1,6,0,
tedious,0,1,
ideally,0,1,
valid,1,0,
5,0,1,
separate,0,1,
students,0,2,
test/deploy,0,1,
dropbox,0,3,
whitespace,0,1,
building,0,1,
remote,0,4,
hello,3,0,
directory,1,22,
428,1,0,
starting,0,2,
original,0,2,
splitting,0,1,
follow,1,1,
jessie,0,1,
referring,0,1,
icons,0,1,
thursday,1,2,
msged,0,1,
init,0,1,
program,1,0,
returned,0,1,
returning,0,2,
decide,0,1,
difference,0,1,
list,0,2,
authenticating,0,1,
i'll,1,9,
past,0,2,
pass,0,1,
snippets,1,0,
application's,0,1,
brackets,0,1,
c:/users/bonnie/downloads/vm310/mint/hcde310-linuxmint-18-64bit.vbox,1,0,
0755,0,1,
version,1,3,
mid-morning,0,1,
public,0,1,
answers,0,1,
hours,8,11,
operating,0,3,
compressed,0,1,
directions,1,0,
i.e,0,1,
ahead,0,1,
allows,2,1,
experience,0,2,
amount,0,1,
pick,2,2,
exited,0,1,
macos's,0,1,
followed,1,1,
pdfs,1,0,
select,0,2,
eye,0,1,
contains,1,0,
6,1,1,
tested,0,1,
basically,0,1,
particular,1,1,
glad,0,1,
none,1,0,
include,1,0,
hour,1,0,
recall,0,1,
launch,0,1,
12-1:00pm,0,1,
resources,0,2,
morgan,1,0,
prompt,2,2,
prompting,0,1,
accept,1,1,
celina,0,1,
sense,0,1,
home/hcde310/coursefiles/hcde310a16,0,1,
okay,0,6,
tried,4,6,
advice,1,0,
reflect,0,1,
access/download,1,0,
github,1,0,
that'd,0,1,
that's,1,5,
help,3,11,
don't,2,8,
installed,1,2,
committed,2,2,
20,1,3,
22,0,1,
actually,0,3,
late,1,1,
systems,0,2,
haven't,0,1,
return,0,5,
files\oracle\virtualbox,0,1,
you've,0,6,
reminder,1,0,
instructions,4,2,
easily,0,1,
everytime,2,0,
troubleshoot,0,1,
refresh,0,1,
2b,1,0,
found,1,3,
isn't,0,2,
hard,2,4,
idea,1,0,
expect,0,1,
beyond,1,0,
missed,0,1,
research,0,2,
7,2,2,
print,1,4,
issue,2,10,
occurs,0,1,
reason,1,2,
base,0,1,
mmk,0,1,
beginning,0,1,
guy,1,0,
bash,1,3,
thread,0,1,
e.g,1,3,
expecting,0,1,
feed,1,1,
major,1,1,
feel,0,1,
instances,0,2,
blank,1,0,
miss,1,0,
this\n,0,1,
guess,0,2,
heads,1,0,
guest,0,3,
script,0,6,
statement,0,2,
believe,2,0,
vocab,1,0,
array[0,0,1,
collaborations,0,1,
double,0,3,
supposed,0,3,
debugging,0,1,
https://app.assembla.com/spaces/hcde310a16/git/source,0,1,
depending,0,1,
extracted,0,1,
internal,0,1,
folders,2,2,
added,2,1,
customize,0,1,
thoughts/suggestions,2,0,
experiences,0,1,
extremely,1,0,
team->commit,0,1,
windows,3,9,
sometimes,0,5,
10am,1,0,
dragged,0,1,
commas,1,0,
423b,0,1,
session,1,0,
screenshots,2,0,
parameters,1,0,
writes,0,1,
sethduuid,0,2,
commit/push,2,2,
pretty,0,2,
override,1,0,
8,4,1,
permission,0,1,
reply,0,1,
homeworks,3,12,
spikes,0,1,
c:\program,0,1,
https://canvas.uw.edu/courses/1066100/pages/git-from-terminal,0,2,
remove,0,2,
mistakes,0,1,
common,0,4,
hw2exercises.py,1,0,
wrote,0,1,
set,0,5,
310,1,2,
2.7,0,1,
#,2,1,
expert,1,0,
pictures,1,0,
wow,0,1,
please,3,5,
probably,0,2,
available,0,2,
missing,1,3,
is-a~/coursefiles/hcde310a16,0,1,
interface,0,2,
wouldn't,1,0,
barely,1,0,
sensitive,0,1,
connection,2,1,
forgotten,0,2,
pdf,2,4,
kelsey's,0,1,
load,1,1,
simple,1,1,
12:00-1:00,3,0,
corresponds,0,1,
whatever,0,4,
simply,1,0,
linux,2,2,
create,0,1,
py,3,3,
due,3,0,
dropping,0,1,
empty,0,5,
what's,0,2,
else,5,6,
understand,1,0,
reinstalled,0,3,
look,0,9,
error,12,15,
rethink,0,1,
https://www.dropbox.com/s/nsry38imz2uaowr/vm310.tar.gz?dl=0,0,1,
pack,0,1,
hoping,1,0,
cents,0,1,
encountered,0,1,
ready,0,1,
leaving,0,1,
funny,0,1,
anymore,2,0,
fetching,0,1,
read,1,2,
copying,1,0,
9,0,2,
passwords,1,0,
keys,1,0,
assignment,5,3,
user,3,1,
task,0,1,
analysis,0,2,
kelly,0,2,
docker,0,2,
spend,1,0,
preference,0,1,
reviewed,0,1,
questions,1,1,
$,0,3,
1072,0,1,
source,0,1,
location,0,2,
snap,0,1,
input,1,0,
submissions,1,1,
couple,0,5,
instructors,0,2,
before/during,0,1,
bit,1,5,
projects,0,2,
submission,2,3,
follows,0,1,
continue,0,1,
popular,0,1,
samuel's,0,1,
google,1,3,
mirror,1,0,
scale,0,1,
connecting,0,1,
manipulate,0,1,
run,5,13,
step,1,3,
8pm,1,0,
reappear,0,1,
completing,0,1,
dialog,0,2,
ide,2,1,
services,0,2,
appropriate,0,1,
troubleshooting,1,2,
question,1,2,
submit,3,0,
we're,1,3,
hcde,1,1,
files,15,22,
elsewhere,0,1,
test/run,0,1,
12-1pm,1,2,
team->commit->team,1,0,
properly,0,1,
link,1,2,
line,5,9,
sdk,0,1,
intuitive,0,1,
restarted,1,0,
uw,1,0,
highlight,1,0,
similar,0,3,
called,2,2,
warning,0,1,
normal.mod,1,0,
fixing,1,0,
invalid,1,1,
application,1,1,
nat,0,5,
nice,1,0,
h1.hw1,0,1,
aggregates,0,1,
lucia,2,2,
drag,0,5,
requires,0,1,
code,8,5,
results,0,1,
existing,1,0,
gb,0,1,
kate,0,1,
issues,1,2,
send,1,1,
helps,0,2,
fatal,0,1,
sent,0,1,
uploaded,1,0,
wordfreq("hw3feed.txt","post,0,2,
tradeoffs,0,1,
1:45-3:30,1,0,
underscore,1,0,
timely,0,1,
entire,1,2,
notes,0,3,
michael,3,1,
try,4,26,
assignments,0,2,
deleting,0,2,
gethw.bat,0,2,
download,1,6,
click,0,6,
index,0,1,
fine,7,8,
access,2,4,
exercise,1,0,
chose,1,0,
pushing,0,1,
larger,1,0,
double-clicking,0,1,
suggests,1,0,
makes,0,2,
named,1,0,
apple,1,0,
distributed,0,1,
app,0,2,
330,0,1,
private,0,1,
addressed,0,1,
names,4,4,
cloud,0,4,
hcde310a16,0,7,
usb,0,4,
zip,0,1,
&,1,0,
remains,0,1,
https://canvas.uw.edu/courses/1066100/pages/git-on-windows-and-mac-with-gethw-dot-star,1,0,
comparison,0,1,
started,1,1,
batch-download,1,0,
actual,0,1,
tad,1,0,
prompts,0,1,
fetch,2,1,
tas,1,2,
process,2,1,
assumptions,0,1,
pulling,0,1,
tab,1,1,
uncompressed,0,1,
located,0,1,
instead,3,3,
tien,0,1,
realized,0,3,
backup,0,1,
lines,4,3,
element,0,1,
re-open,1,1,
allow,0,1,
counted,1,0,
move,0,4,
including,0,1,
looks,1,10,
brittle,0,1,
perfect,0,1,
1,2,5,
ls,1,5,
folders/files,0,1,
covered,0,1,
python,2,6,
auto,0,1,
indexing,1,0,
front,0,1,
edit,0,1,
identifier,1,0,
chung,1,0,
doing,2,2,
https://www.dropbox.com/s/0aawafxoik35v5a/vm310.zip?dl=0,0,1,
popping,0,1,
res,0,1,
maximized,1,0,
lecture,2,1,
dictionary,0,9,
completely,1,1,
indent,1,0,
route,0,1,
bidirectional,0,2,
tryto,1,0,
times,2,3,
pasting,0,1,
doesn't,2,12,
guys,4,2,
system,0,16,
unspecified,1,1,
2-3,0,1,
explanation,0,1,
exactly,0,2,
updating,1,0,
virtualmachines,0,1,
https://git.assembla.com/hcde310a16.git,0,1,
submitted,1,1,
result,1,1,
comfortable,0,1,
tonight,0,1,
linked,1,0,
c:\users\alex\downloads\mint2\hcde310-linuxmint-17.1-cinnamon-64bit.vdi,0,2,
able,6,8,
instance,0,1,
=,0,3,
re-opening,0,1,
lectures,0,5,
empty...how,1,0,
url,0,2,
looked,0,2,
you'll,0,4,
assemblia,1,0,
text,2,3,
supported,0,1,
employer,0,1,
terminal,2,14,
resubmit,1,0,
hope,0,2,
meant,0,1,
handle,0,2,
means,2,2,
overall,0,1,
words,1,2,
contain,1,1,
won't,0,2,
fixed,1,3,
view,0,3,
guessing,1,0,
exists,1,0,
configured,0,1,
module,1,1,
computer,2,3,
tend,0,1,
closed,1,0,
progress,0,1,
neither,1,0,
email,0,1,
key,0,1,
commands,0,2,
commenting,0,1,
taking,0,1,
etc,1,1,
otherwise,1,1,
comment,2,2,
tuesday,2,1,
chmod,0,1,
cd,3,7,
cp,0,1,
erased,1,0,
vboxmanage.exe,0,2,
it's,6,19,
copies,0,2,
copied,0,2,
username,0,2,
corresponding,0,1,
bridged,0,1,
moved,1,3,
hmm,0,1,
finished,0,2,
splits,0,1,
plain,0,1,
harder,0,1,
value,0,5,
rename,0,1,
vm,7,8,
vs,1,1,
hw3,0,1,
strange,0,1,
largest,1,0,
solution,1,4,
planned,0,1,
1-2,0,1,
student,5,3,
weblog,0,1,
part3,0,1,
command,3,6,
sets,0,1,
increasingly,0,2,
stored,0,1,
lauren,0,1,
web,0,7,
console,1,0,
logged,0,1,
reasons,0,1,
add,0,8,
homework,6,9,
press,0,1,
password,3,2,
helpful,0,2,
alternatively,0,1,
page,1,4,
hw2-execises.py,0,1,
12pm,1,0,
export,1,0,
proper,0,1,
home,1,4,
happens,1,5,
assuming,2,1,
facebook-scale,0,1,
host,0,3,
wordfreq("hw3feed.txt",'post,0,1,
paste,0,2,
panel,0,1,
commited,0,1,
extension,0,1,
getting,7,6,
recognized,0,1,
pooja,0,1,
3:30-5:00,1,0,
in/after,1,1,
autocorrect,0,1,
software,0,1,
own,2,2,
promise,0,1,
virtualbox,0,7,
elastic,0,1,
apps,0,2,
noticed,0,2,
folders(i.e,0,1,
notices,0,1,
3:30-4:30pm,1,0,
function,2,4,
wordfreq,0,2,
i've,2,11,
hw,2,3,
respository,1,0,
hi,1,16,
editing,0,1,
bug,1,0,
count,1,2,
compute,0,1,
files/folders,1,0,
hosting,0,1,
limit,0,1,
distribution,0,1,
minutes,1,0,
display,0,2,
recognize,0,2,
eric,0,2,
virtual,15,24,
compares,0,1,
stat,0,1,
monday,2,3,
shown,1,0,
stay,0,1,
alright,1,1,
chance,1,4,
3:30-4:30,1,0,
write,0,2,
